"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"2765","Sting & peter gabriel: rock paper scissors","Sting","Peter Gabriel","CONCERTS","ROCK/POP","CONCERTS","Sting & peter gabriel: rock paper scissors","   LIVE NATION PRESENTS     STING & PETER GABRIEL      ROCK PAPER SCISSORS      SAP CENTER AT SAN JOSE     NO CAMERAS/VIDEO/REC    THU JUL 14 2016 8:00 PM  ",2,250,"eTicket",2016-07-15,"03:00:00",2016-01-20,2016-01-25,2016-01-26,"18:54:22",2016-01-26,NA,"PST","SAN JOSE, CALIFORNIA","95113","mobile.ticketmaster.us","F ","Y ","N. California"
"2766","Gorge Amphitheatre Camping: Dave Matthews Band Caravan","Gorge Camping","Dave Matthews Band Caravan Festival","MISC","CAMPING","INVALID","Gorge Amphitheatre Camping: Dave Matthews Band Caravan","         CAMPING           OVERNIGHT C A M P I N G       * CAMPING PASS *          GORGE CAMPGROUND     * GOOD THESE DATES ONLY * THURS SEPT 1 - MON SEPT 5 ",1,90,"Mail",2011-09-02,"20:00:00",NA,2011-05-02,2011-06-21,"01:23:32",2011-06-20,2011-06-22,"PST","GEORGE, WASHINGTON","98848","NULL","T ","N ","Seattle"
"2767","Luke Bryan: Fast Lane Access","Fast Lane Access","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Luke Bryan: Fast Lane Access","      FAST LANE PASS              LUKE BRYAN            NOT A SHOW TICKET          AK-CHIN PAVILION       REDEEM @ GATE ENTRANCE   SAT JUL 27 2013 7:00 PM  ",2,10,"TicketFast",2013-07-28,"02:00:00",NA,2013-03-20,2013-03-22,"17:06:33",2013-03-22,2013-07-22,"MST","PHOENIX, ARIZONA","85035","www.concerts.livenation.com","T ","N ","Arizona"
"2768","Gorge Amphitheatre Camping: Paradiso Festival June 27-30,2013","Gorge Camping","NULL","MISC","CAMPING","INVALID","Gorge Amphitheatre Camping: Paradiso Festival June 27-30,2013","     PARADISO CAMPING      OVERNIGHT C A M P I N G   CAMPGROUND OPENS AT 3PM       GORGE CAMPGROUND     * GOOD THESE DATES ONLY *  THUR 6/27 - SUN 6/30/13  ",1,75,"Mail",2013-06-27,"22:00:00",NA,2013-03-23,2013-04-06,"03:09:45",2013-04-05,2013-04-10,"PST","GEORGE, WASHINGTON","98848","www.concerts.livenation.com","T ","N ","Seattle"
"2769","Premier Parking: Ozzfest","Verizon Wireless Amph. Texas San Ant. Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Ozzfest","PREMIER PARKING ONLY%OZZFEST%VALID FOR PARKING ONLY%VERIZON WIRELESS AMP/TX%NOT A TICKET TO SHOW%SUN AUG 28 2005 9:00 AM",1,15,"Mail",2005-08-28,"14:00:00",NA,2005-06-04,2005-06-11,"00:00:00",2005-06-11,2005-06-18,"CST","SELMA, TEXAS","78154","NULL","T ","N ","San Antonio"
"2770","Lynyrd Skynyrd:parking","Parking Event","NULL","MISC","PARKING","PARKING","Lynyrd Skynyrd:parking","*** PARKING RECEIPT ***%%THIS IS NOT A PASS%BLOSSOM MUSIC CENTER%*** RECEIPT ONLY ***%",1,10,"Mail",2007-09-13,"23:30:00",NA,2007-07-26,2007-08-23,"00:00:00",2007-08-23,2007-08-24,"CST","CUYAHOGA FALLS, OHIO","44223","NULL","T ","N ","Cleveland"
"2771","Time Warner Cable Music Pavilion Vip Parking: The Avett Brothers","Time Warner Cable Music Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Time Warner Cable Music Pavilion Vip Parking: The Avett Brothers","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%VIP PARKING PASS%TWC MUSIC PAVILION%FRI OCT 08 2010  7:00PM",1,20,"TicketFast",2010-10-08,"23:00:00",NA,2010-06-25,2010-08-22,"00:00:00",2010-08-22,2010-09-13,"EST","RALEIGH, NORTH CAROLINA","27610","NULL","T ","N ","Raleigh"
"2772","Shinedown","Shinedown","Nothing More","CONCERTS","ROCK/POP","CONCERTS","Shinedown","   LIVE NATION PRESENTS           SHINEDOWN             WWW.SHINEDOWN.COM           THE TABERNACLE          152 LUCKIE STREET      FRI JUL 31 2015 8:00 PM  ",2,73,"eTicket",2015-08-01,"00:00:00",2015-04-15,2015-04-17,2015-05-15,"16:15:42",2015-05-15,2015-07-31,"EST","ATLANTA, GEORGIA","30303","www.concerts.livenation.com","T ","Y ","Atlanta"
"2773","Premier Parking : the black eyed peas","Klipsch Music Ctr. Ind. Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : the black eyed peas","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%THE BLACK EYED PEAS%VERIZON WIRELESS MUSIC CTR%WED MAY 3 2006 7:00PM",1,20,"TicketFast",2006-05-03,"23:00:00",NA,NA,2006-04-01,"00:00:00",2006-04-01,2006-04-01,"CST","NOBLESVILLE, INDIANA","46060","NULL","T ","N ","Indiana-Ohio"
"2774","Cmt On Tour: Suits & boots with brett eldredge and thomas rhett","Brett Eldredge","Thomas Rhett","CONCERTS","COUNTRY","CONCERTS","Cmt On Tour: Suits & boots with brett eldredge and thomas rhett","       CMT ON TOUR          B. ELDREDGE & T. RHETT        SUITS & BOOTS         EAGLEBANK ARENA - GMU   (FORMERLY PATRIOT CENTER)  FRI DEC 04 2015 7:30 PM  ",1,25,"eTicket",2015-12-05,"00:30:00",2015-09-30,2015-10-02,2015-11-08,"04:34:57",2015-11-07,2015-11-28,"EST","FAIRFAX, VIRGINIA","22030","www.ticketmaster.com","T ","Y ","Washington DC"
"2775","Alt 98.7 presents third eye blind","Third Eye Blind","Bad Bad Hats","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Alt 98.7 presents third eye blind","    ALT 98.7 PRESENTS          THIRD EYE BLIND               ALL AGES                THE WILTERN            FOLLOW US @WILTERN    SAT APR 09 2016 DRS 700PM ",5,200,"eTicket",2016-04-10,"02:00:00",2016-01-28,2016-01-29,2016-01-29,"18:18:19",2016-01-29,NA,"PST","LOS ANGELES, CALIFORNIA","90010","www.concerts.livenation.com","F ","Y ","Los Angeles"
"2776","Fall Out Boy: Parking","Parking Event","NULL","MISC","PARKING","PARKING","Fall Out Boy: Parking","*** PARKING RECEIPT ***%FALL OUT BOY PARKING%THIS IS NOT A PASS%BLOSSOM MUSIC CENTER%*** RECEIPT ONLY ***%SUN MAY 7 2006 6:30 PM",1,10,"Mail",2006-05-07,"22:30:00",NA,2006-01-14,2006-01-14,"00:00:00",2006-01-14,2006-01-27,"CST","CUYAHOGA FALLS, OHIO","44223","NULL","T ","N ","Cleveland"
"2777","Violent Femmes","Violent Femmes","NULL","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Violent Femmes"," CANCELED-REFUNDS P.O.P.        VIOLENT FEMMES            RAIN OR SHINE            RUMSEY PLAYFIELD        69TH ST @ FIFTH AVE     POSTPONED DATE/TIME TBA  ",2,99,"TicketFast",2015-09-12,"22:00:00",2013-06-20,NA,2013-08-23,"21:36:18",2013-08-23,2013-09-12,"EST","NEW YORK, NEW YORK","10022","www.ticketmaster.com","T ","Y ","New York"
"2778","Premier Parking : black eyed peas and the pussycat dolls","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : black eyed peas and the pussycat dolls","VALID FOR PARKING ONLY%PREMIER PARKING%TWEETER CTR, MANSFIELD%PARKING FOR BLACK EYED PEA%LOT OPENS 3 HOURS PRIOR%THU AUG 24, 2006 7:30PM",1,35,"TicketFast",2007-02-01,"00:30:00",NA,2006-07-21,2006-08-01,"00:00:00",2006-08-01,2006-08-24,"EST","MANSFIELD, MASSACHUSETTS","02048","NULL","T ","N ","Boston"
"2779","Digifest","Digifest","NULL","CONCERTS","ROCK/POP","CONCERTS","Digifest"," PRODUCED BY LIVE NATION           DIGIFEST                                              ***            JACOBS PAVILION @ NAUTICA  SAT JUL 18 2015 3:30 PM  ",1,35,"eTicket",2015-07-18,"19:30:00",2015-01-30,2015-02-02,2015-05-27,"00:25:26",2015-05-26,2015-07-18,"CST","CLEVELAND, OHIO","44113","mobile.livenation.us","T ","Y ","Cleveland"
"2780","Andrew Wk: Coat Check Voucher","Guaranteed Coat Check","NULL","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Andrew Wk: Coat Check Voucher","    GOOD FOR ONE ITEM       GUARANTEED COAT CHECK           ANDREW WK                IRVING PLAZA        17 IRVING PL @ E 15TH ST  TUE DEC 31 2013 8:00 PM  ",2,8,"TicketFast",2014-01-01,"01:00:00",NA,2013-12-04,2013-12-19,"17:21:16",2013-12-19,2013-12-19,"EST","NEW YORK, NEW YORK","10003","www.concerts.livenation.com","T ","N ","New York"
"2781","Santigold  we buy gold tour","Santigold","NULL","CONCERTS","ROCK/POP","CONCERTS","Santigold  we buy gold tour","   LIVE NATION PRESENTS           SANTIGOLD              WE BUY GOLD TOUR           THE TABERNACLE          152 LUCKIE STREET      THU APR 28 2016 8:00 PM  ",1,25.5,"eTicket",2016-04-29,"00:00:00",2016-02-02,2016-02-05,2016-02-03,"23:57:33",2016-02-03,2016-02-03,"EST","ATLANTA, GEORGIA","30303","www.concerts.livenation.com","T ","Y ","Atlanta"
"2782","Premier Parking : il divo","Sleep Train Pavilion Concord Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : il divo","THIS TICKET IS VALID%FOR PARKING ONLY-GATE B%GOOD 7/1/06 ONLY%PREMIER PARKING%SLEEP TRAIN PAVILION%SAT JUL 1 2006",1,20,"TicketFast",2006-07-02,"03:00:00",NA,2006-03-23,2006-06-11,"00:00:00",2006-06-11,2006-06-11,"PST","CONCORD, CALIFORNIA","94521","NULL","T ","N ","N. California"
"2783","Tabernacle Parking: Sevendust","Tabernacle Parking","NULL","MISC","PARKING","PARKING","Tabernacle Parking: Sevendust","PARKING PASS-PARKING ONLY%SEVENDUST%CENTRAL PARKING%REDEEM UPON EXIT%ENTER AT LUCKIE & CONE%SAT NOV 10 2007  8:00PM",1,9,"Mail",2007-11-11,"01:00:00",NA,2007-09-22,2007-09-22,"00:00:00",2007-09-22,2007-09-27,"EST","ATLANTA, GEORGIA","30303","NULL","T ","N ","Atlanta"
"2784","Hallmark Channel Presents Trans-siberian Orchestra 2015","Trans-Siberian Orchestra","NULL","CONCERTS","ETHNIC/FOREIGN","CONCERTS","Hallmark Channel Presents Trans-siberian Orchestra 2015","HALLMARK CHANNEL PRESENTS  TRANS-SIBERIAN ORCHESTRA  GHOSTS OF CHRISTMAS EVE          TD GARDEN           NO BAGS/CAMERAS/AUDIO    THU DEC 17 2015 7:30 PM  ",2,145,"eTicket",2015-12-18,"00:30:00",2015-09-16,2015-09-18,2015-11-27,"15:39:18",2015-11-27,2015-11-27,"EST","BOSTON, MASSACHUSETTS","02114","www.ticketmaster.com","T ","Y ","Boston"
"2785","Coldplay- A Head Full Of Dreams Tour","Coldplay","NULL","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Coldplay- A Head Full Of Dreams Tour","   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOUR     METLIFE STADIUM         ***RAIN OR SHINE***     SAT JUL 16 2016 8:00 PM  ",1,74.5,"TicketFast",2016-07-17,"00:00:00",2016-01-29,2016-02-05,2016-02-08,"00:14:58",2016-02-07,2016-02-14,"EST","EAST RUTHERFORD, NEW JERSEY","07073","www.ticketmaster.com","T ","Y ","New York"
"2786","Premier Parking: Dave Matthews Band","Verizon Wireless Amph. Charlotte Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Dave Matthews Band","THIS TICKET IS VALID FOR%PREMIER PARKING%DAVE MATTHEWS BAND%VERIZON WIRELESS AMPH CHA%HWY 29 TO PAVILION BLVD%TUE JUL 1 2008 7:00PM",1,20,"TicketFast",2008-07-01,"23:00:00",NA,2008-03-29,2008-03-29,"00:00:00",2008-03-29,2008-03-29,"EST","CHARLOTTE, NORTH CAROLINA","28262","NULL","T ","N ","Charlotte"
"2787","Premier Parking : juntos en concierto","Shoreline Mountain View Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : juntos en concierto","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD 7/14/06 ONLY%PREMIER PARKING%SHORELINE AMPHITHEATRE%FRI JUL 14 2006",1,20,"TicketFast",2006-07-15,"02:00:00",NA,2006-06-04,2006-07-10,"00:00:00",2006-07-10,2006-07-10,"PST","MOUNTAIN VIEW, CALIFORNIA","94043","NULL","T ","N ","N. California"
"2788","Slash Featuring Myles Kennedy & the conspirators: world on fire tour","Slash","Fozzy","CONCERTS","ROCK/POP","CONCERTS","Slash Featuring Myles Kennedy & the conspirators: world on fire tour","   Live Nation Presents   Slash feat. Myles Kennedy    and The Conspirators      SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   SUN MAY 24 2015 8:00 PM  ",1,37.5,"eTicket",2015-05-25,"01:00:00",2015-02-25,2015-02-27,2015-05-22,"13:39:34",2015-05-22,2015-05-22,"CST","DALLAS, TEXAS","75215","www.concerts.livenation.com","T ","Y ","Dallas"
"2789","Verizon Wireless Music Ctr. Birmingham Premier Parking","Verizon Wireless Music Ctr. Birmingham Premier Parking","NULL","MISC","PARKING","PARKING","Verizon Wireless Music Ctr. Birmingham Premier Parking","THIS TICKET IS VALID FOR%PREMIER PARKING ONLY%BONNIE RAITT 9/30/2006%PONTIAC-GMC PREMIER LOT%VERIZON WIRELESS MUSIC CT%SAT SEP 30 2006 8:00 PM",1,20,"TicketFast",2006-10-01,"01:00:00",NA,2006-08-05,2006-08-09,"00:00:00",2006-08-09,2006-08-09,"EST","BIRMINGHAM, ALABAMA","35124","NULL","T ","N ","Birmingham"
"2790","Premier Parking: Earth, Wind & fire and chicago","First Niagara Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Earth, Wind & fire and chicago","USE 2ND LANE FROM FAR LEFT%CHICAGO JULY 10 2005%PREMIER PARKING PASS%RIGHT OF PEDESTRIAN WLKWAY%POST-GAZETTE PAVILION%NOT RESP FOR ANY LOSSES",1,22,"TicketFast",2005-07-10,"23:30:00",NA,2005-04-11,2005-04-13,"00:00:00",2005-04-13,2005-04-13,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","NULL","T ","N ","Pittsburgh"
"2791","Dead & Company","Dead & Company","NULL","CONCERTS","ROCK/POP","CONCERTS","Dead & Company","   LIVE NATION PRESENTS         DEAD & COMPANY                                        THE FORUM          3900 W. MANCHESTER BLVD   WED DEC 30 2015 7:00 PM  ",4,376,"eTicket",2015-12-31,"03:00:00",2015-08-26,2015-08-28,2015-08-26,"17:08:11",2015-08-26,2015-09-12,"PST","INGLEWOOD, CALIFORNIA","90305","iphone.ticketmaster.us","T ","Y ","Los Angeles"
"2792","Third Eye Blind And Dashboard Confessional","Third Eye Blind","Dashboard Confessional","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Third Eye Blind And Dashboard Confessional","   LIVE NATION PRESENTS        THIRD EYE BLIND         RED HAT AMPHITHEATER     DASHBOARD CONFESSIONAL        RAIN OR SHINE        TUE JUN 09 2015 7:00 PM  ",1,24.5,"eTicket",2015-06-09,"23:00:00",2015-03-10,2015-03-13,2015-05-14,"13:48:44",2015-05-14,2015-06-08,"EST","RALEIGH, NORTH CAROLINA","27601","www.ticketmaster.com","T ","Y ","Raleigh"
"2793","Evanescence","Evanescence","Veridia","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Evanescence","   LIVE NATION PRESENTS          EVANESCENCE                                     SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   SUN NOV 15 2015 8:00 PM  ",1,35,"Mail",2015-11-16,"02:00:00",2015-07-22,2015-07-25,2015-07-26,"03:15:25",2015-07-25,2015-08-05,"CST","DALLAS, TEXAS","75215","www.concerts.livenation.com","T ","Y ","Dallas"
"2794","Luke Bryan: Kill The Lights Tour 2016","Luke Bryan","Dustin Lynch","CONCERTS","COUNTRY","CONCERTS","Luke Bryan: Kill The Lights Tour 2016","Kill The Lights Tour 2016         Luke Bryan            www.LukeBryan.com            Dustin Lynch           Mohegan Sun Arena      SAT FEB 27 2016 7:30 PM  ",2,279,"eTicket",2016-02-28,"00:30:00",2016-01-05,2016-01-08,2016-01-08,"17:13:57",2016-01-08,2016-01-08,"EST","UNCASVILLE, CONNECTICUT","06382","iphone.ticketmaster.us","T ","Y ","Boston"
"2795","Ben Rector - the brand new tour","Ben Rector","NULL","CONCERTS","ROCK/POP","CONCERTS","Ben Rector - the brand new tour","   LIVE NATION PRESENTS           BEN RECTOR            THE BRAND NEW TOUR          UPTOWN THEATER          3700 BROADWAY KCMO     SAT MAR 05 2016 8:00 PM  ",1,23,"eTicket",2016-03-06,"02:00:00",2015-12-08,2015-12-11,2016-02-10,"21:53:32",2016-02-10,NA,"CST","KANSAS CITY, MISSOURI","64111","www.ticketmaster.com","F ","Y ","Kansas City"
"2796","Jimmy Buffett","Jimmy Buffett","Huey Lewis and the News","CONCERTS","ROCK/POP","CONCERTS","Jimmy Buffett","LAND SHARK AND M'VILLE TEQ      JIMMY BUFFETT        SPECIAL GUEST HUEY LEWIS     PNC MUSIC PAVILION     INCL $7 VEN FEE & $1 SFC   SAT APR 23 2016 7:00PM  ",5,145,"TicketFast",2016-04-23,"23:00:00",NA,2016-01-22,2016-01-22,"15:09:51",2016-01-22,2016-01-22,"EST","CHARLOTTE, NORTH CAROLINA","28262","www.concerts.livenation.com","T ","Y ","Charlotte"
"2797","First Midwest Bank Amphitheatre Vip Fast Lane - vans warped tour","Vip Fast Lane","NULL","MISC","CONCESSION VOUCHERS (UPSELL)","UPSELL","First Midwest Bank Amphitheatre Vip Fast Lane - vans warped tour","OK TO DELETE%VANS WARPED TOUR%TICKET VALID ONLY FOR%*VIP FAST LANE ACCESS*%FIRST MIDWEST BANK AMP%SAT JUL 31 2010 11:00AM",1,10,"TicketFast",2010-07-31,"16:00:00",NA,2010-04-09,2010-05-19,"00:00:00",2010-05-19,2010-07-28,"CST","TINLEY PARK, ILLINOIS","60477","NULL","T ","N ","Chicago"
"2798","Under The Sun 2015: sugar ray, better than ezra, uncle kracker & eve 6","Under the Sun Tour","Sugar Ray","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Under The Sun 2015: sugar ray, better than ezra, uncle kracker & eve 6","   RAIN OR SHINE EVENT        UNDER THE SUN 2015               ****             STONE PONY SUMMERSTAGE       ASBURY PARK, NJ       FRI AUG 21 2015 5:00 PM  ",1,37.5,"TicketFast",2015-08-21,"21:00:00",2015-03-24,2015-03-27,2015-08-13,"13:05:31",2015-08-13,2015-08-13,"EST","ASBURY PARK, NEW JERSEY","07712","www.ticketmaster.com","T ","Y ","New York"
"2799","Verizon Wireless Amph. Irvine Premier Parking: Marlyn Manson","Verizon Wireless Amph. Irvine Premier Parking","NULL","MISC","PARKING","PARKING","Verizon Wireless Amph. Irvine Premier Parking: Marlyn Manson","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%VERIZON AMPHITHEATER%FRI AUG 24 2007 TBD",1,20,"Mail",2007-08-25,"01:30:00",NA,2007-06-30,2007-07-02,"00:00:00",2007-07-01,2007-07-03,"PST","IRVINE, CALIFORNIA","92618","NULL","T ","N ","Los Angeles"
"2800","Premier Parking : warped tour","Umb Bank Pavilion St. Louis Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : warped tour","ADMIT ONE VEHICLE FOR%PREMIER PARKING%FOLLOW VIP PARKING SIGNS%VERIZON WIRELESS AMP STL%WARPED TOUR%TUE AUG 14 2007 12:00PM",1,20,"TicketFast",2007-08-14,"17:00:00",NA,2007-04-14,2007-08-08,"00:00:00",2007-08-07,2007-08-13,"CST","MARYLAND HEIGHTS, MISSOURI","63043","NULL","T ","N ","St. Louis"
"2801","Premier Parking : hinder","Umb Bank Pavilion St. Louis Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : hinder","ADMIT ONE VEHICLE FOR%PREMIER PARKING%FOLLOW VIP PARKING SIGNS%VERIZON WIRELESS AMP STL%HINDER%FRI JUL 27 2007 7:30PM",1,20,"BWC",2007-07-28,"00:30:00",NA,2007-06-09,2007-06-16,"00:00:00",2007-06-15,2007-06-17,"CST","MARYLAND HEIGHTS, MISSOURI","63043","NULL","T ","N ","St. Louis"
"2802","Van Halen","Van Halen","Kenny Wayne Shepherd","CONCERTS","ROCK/POP","CONCERTS","Van Halen","    WWW.VAN-HALEN.COM             VAN HALEN                 IN CONCERT           GEXA ENERGY PAVILION         RAIN OR SHINE        WED SEP 23 2015 7:30 PM  ",2,201,"eTicket",2015-09-24,"00:30:00",2015-04-03,2015-04-04,2015-04-04,"15:04:38",2015-04-04,2015-07-09,"CST","DALLAS, TEXAS","75210","www.concerts.livenation.com","T ","Y ","Dallas"
"2803","Daryl Hall & john oates","Hall and Oates","Sharon Jones & the Dap-Kings","CONCERTS","ROCK/POP","CONCERTS","Daryl Hall & john oates","   LIVE NATION PRESENTS    DARYL HALL & JOHN OATES     WWW.HALLANDOATES.COM        AK-CHIN PAVILION           RAIN OR SHINE       WED SEP 14 2016 7PM SHARP ",2,56,"eTicket",2016-09-15,"02:00:00",2016-02-09,2016-02-12,2016-02-23,"23:34:19",2016-02-23,2016-02-23,"MST","PHOENIX, ARIZONA","85035","www.concerts.livenation.com","T ","Y ","Arizona"
"2804","Vans Warped Tour Presented By Journeys","Vans Warped Tour","Simple Plan","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Vans Warped Tour Presented By Journeys","A PS&E / LIVE NATION EVENT     VANS WARPED TOUR       PRESENTED BY JOURNEYS     WWW.VANSWARPEDTOUR.COM   THE PALACE-AUBURN HILLS   FRI JUL 24 2015 11:00 AM ",1,38.5,"eTicket",2015-07-24,"15:00:00",2014-12-12,2014-12-12,2015-07-19,"15:42:41",2015-07-19,2015-07-19,"EST","AUBURN HILLS, MICHIGAN","48326","www.ticketmaster.com","T ","Y ","Michigan"
"2805","Beyonce - the formation world tour","Beyoncé","NULL","CONCERTS","R & B","CONCERTS","Beyonce - the formation world tour","   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR  ROSE BOWL, PASADENA, CA        RAIN OR SHINE          SAT MAY 14 2016 6PM    ",1,180,"eTicket",2016-05-15,"01:00:00",2016-02-09,2016-02-16,2016-02-16,"19:28:58",2016-02-16,2016-02-16,"PST","PASADENA, CALIFORNIA","91103","iphone.ticketmaster.us","T ","Y ","Los Angeles"
"2806","First Niagara Pavilion Vip Parking: Big Time Rush","Hertz Vip Parking","NULL","MISC","PARKING","PARKING","First Niagara Pavilion Vip Parking: Big Time Rush","USE 2ND LANE FROM FAR LEFT      BIG TIME RUSH          VIP PARKING*5-AUG-12   RIGHT OF PEDESTRIAN WLKWAY  FIRST NIAGARA PAVILION     SUN AUG 5 2012 7:00PM  ",1,25,"TicketFast",2012-08-05,"23:00:00",NA,2012-03-09,2012-04-12,"14:44:34",2012-04-12,2012-04-12,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","NULL","T ","N ","Pittsburgh"
"2807","Premier Parking: Sammy Hagar & the wabos","Midflorida Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Sammy Hagar & the wabos","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY!%JUNE 17, 2006%SAMMY HAGAR%FORD AMPHITHEATRE%*** USE MLK ENTRANCE ***",1,20,"Mail",2006-06-17,"19:00:00",NA,2006-03-25,2006-03-25,"00:00:00",2006-03-25,2006-03-27,"EST","TAMPA, FLORIDA","33610","NULL","T ","N ","Tampa"
"2808","Dodge Theatre Adams Street Parking- George Lopez","Parking Event","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking- George Lopez","ADAMS STREET GARAGE%PARKING FOR 12/31/05 ONLY%DODGE THEATRE PARKING PASS%ENTRANCE ON ADAMS STREET%GEORGE LOPEZ%GARAGE OPENS AT 6:00PM",1,5,"Mail",2006-01-01,"02:30:00",NA,2005-09-21,2005-11-05,"00:00:00",2005-11-05,2005-11-07,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
"2809","Beyonce - the formation world tour","Beyoncé","NULL","CONCERTS","R & B","CONCERTS","Beyonce - the formation world tour","   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR       LEVI'S STADIUM            RAIN OR SHINE        MON MAY 16 2016 6:00 PM  ",8,800,"TicketFast",2016-05-17,"01:00:00",2016-02-15,2016-02-22,2016-02-15,"21:09:36",2016-02-15,2016-02-22,"PST","SANTA CLARA, CALIFORNIA","95054","iphone.ticketmaster.us","T ","Y ","N. California"
"2810","Loggins And Messina-pnc Bank Arts Center Holmdel Premier Parking","PNC Bank Arts Center Holmdel Premier Parking","NULL","MISC","PARKING","PARKING","Loggins And Messina-pnc Bank Arts Center Holmdel Premier Parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%SAT JUL 23, 2005 8:00PM",1,30,"BWC",2005-07-24,"00:00:00",NA,2005-05-07,2005-05-07,"00:00:00",2005-05-07,2005-05-18,"EST","HOLMDEL, NEW JERSEY","07733","NULL","T ","N ","New York"
"2811","Premier Parking: Ozzfest","Umb Bank Pavilion St. Louis Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking: Ozzfest","ADMIT ONE VEHICLE FOR%PREMIER PARKING%FOLLOW VIP PARKING SIGNS%UMB BANK PAVILION%OZZFEST 2006%SAT JUL 15 2006 9:30AM DRS",1,20,"Mail",2006-07-15,"14:30:00",NA,2006-03-25,2006-04-25,"00:00:00",2006-04-25,2006-04-28,"CST","MARYLAND HEIGHTS, MISSOURI","63043","NULL","T ","N ","St. Louis"
"2812","Dodge Theatre Adams Street Parking - slayer / megadeth","Dodge Theatre Parking","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking - slayer / megadeth","ADAMS STREET GARAGE%SLAYER / MEGADETH%DODGE THEATRE PARKING PASS%ENTER AT 4TH AVE & ADAMS%GOOD ONLY ON 8-27-10%GARAGE OPENS AT 6:00PM",1,10,"TicketFast",2010-08-28,"01:00:00",NA,2010-04-01,2010-05-22,"00:00:00",2010-05-21,1900-01-01,"MST","PHOENIX, ARIZONA","85003","NULL","F ","N ","Arizona"
"2813","Coldplay- A Head Full Of Dreams Tour","Coldplay","NULL","CONCERTS","ALTERNATIVE ROCK","CONCERTS","Coldplay- A Head Full Of Dreams Tour","   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOURSOLDIER FIELD-CHICAGO, IL       RAIN OR SHINE         SUN JUL 24 2016 8:00PM  ",2,353,"Mail",2016-07-25,"01:00:00",2016-02-03,2016-02-05,2016-02-03,"00:05:02",2016-02-02,2016-02-04,"CST","CHICAGO, ILLINOIS","60605","mobile.ticketmaster.us","T ","Y ","Chicago"
"2814","Tanya Tucker","Tanya Tucker","NULL","CONCERTS","COUNTRY","CONCERTS","Tanya Tucker"," PRESENTED BY LIVE NATION        TANYA TUCKER                 * * *               HARD ROCK ROCKSINO         NORTHFIELD PARK       THU FEB 18 2016 7:30 PM  ",2,65,"ISPU",2016-02-19,"00:30:00",2015-12-17,2015-12-18,2016-01-17,"15:15:11",2016-01-17,2016-01-17,"CST","NORTHFIELD, OHIO","44067","www.ticketmaster.com","T ","Y ","Cleveland"
