"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"880","Adams Street Parking - george lopez","Dodge Theatre Parking","NULL","MISC","PARKING","PARKING","Adams Street Parking - george lopez","ADAMS STREET GARAGE%GOOD ONLY 4/25/08%DODGE THEATRE PARKING PASS%ENTER AT 4TH AVE & ADAMS%GEORGE LOPEZ%FRI APR 25 2008 7:30 PM",1,9,"TicketFast",2008-04-26,"01:30:00",NA,2007-12-03,2008-03-21,"00:00:00",2008-03-21,2008-03-21,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
"881","Janet Jackson: Unbreakable World Tour","Janet Jackson","NULL","CONCERTS","ROCK/POP","CONCERTS","Janet Jackson: Unbreakable World Tour","   LIVE NATION PRESENTS         JANET JACKSON         UNBREAKABLE WORLD TOUR   VERIZON CENTER - WASH,DC           * * *              TUE AUG 9 2016 8:00PM  ",2,199,"eTicket",2016-08-10,"00:00:00",2015-07-14,2015-07-20,2015-07-17,"14:47:02",2015-07-17,2016-01-28,"EST","WASHINGTON, DISTRICT OF COLUMBIA","20004","www.ticketmaster.com","T ","Y ","Washington DC"
"882","Nicki Minaj: The Pinkprint Tour","Nicki Minaj","Meek Mill","CONCERTS","RAP/URBAN","CONCERTS","Nicki Minaj: The Pinkprint Tour","    WWW.LIVENATION.COM           NICKI MINAJ            THE PINKPRINT TOUR      FIRST NIAGARA PAVILION        RAIN OR SHINE        SAT AUG 08 2015 7:00 PM  ",2,36,"eTicket",2015-08-08,"23:00:00",2015-03-18,2015-03-20,2015-08-04,"21:46:29",2015-08-04,2015-08-04,"EST","BURGETTSTOWN, PENNSYLVANIA","15021","www.concerts.livenation.com","T ","Y ","Pittsburgh"
"883","Nikon At Jones Beach Theater Premier Parking","Nikon At Jones Beach Theater Premier Parking","NULL","MISC","PARKING","PARKING","Nikon At Jones Beach Theater Premier Parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%NIKON AT%JONES BEACH THEATER%SAT JUN 16, 2007 7:00PM",1,15,"Mail",2007-06-16,"23:00:00",NA,2007-04-20,2007-04-20,"00:00:00",2007-04-20,2007-04-23,"EST","WANTAGH, NEW YORK","11793","NULL","T ","N ","New York"
"884","Premier Parking : brooks & dunn","Sleep Train Pavilion Concord Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking : brooks & dunn","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD 10/12/07 ONLY%PREMIER PARKING%SLEEP TRAIN PAVILION%FRI OCT 12 2007",1,20,"TicketFast",2007-10-13,"02:30:00",NA,2007-08-12,2007-08-13,"00:00:00",2007-08-12,2007-10-12,"PST","CONCORD, CALIFORNIA","94521","NULL","T ","N ","N. California"
"885","Tabernacle Parking: Indigo Girls","Tabernacle Parking","NULL","MISC","PARKING","PARKING","Tabernacle Parking: Indigo Girls","PARKING PASS-PARKING ONLY%INDIGO GIRLS%CENTRAL PARKING%REDEEM UPON EXIT%ENTER AT LUCKIE & CONE%FRI OCT 6 2006 8:00PM",1,9,"Mail",2006-10-07,"00:00:00",NA,2006-08-25,2006-09-04,"00:00:00",2006-09-04,2006-09-06,"EST","ATLANTA, GEORGIA","30303","NULL","T ","N ","Atlanta"
"886","Jason Aldean: 2015 burn it down tour","Jason Aldean","Cole Swindell","CONCERTS","COUNTRY","CONCERTS","Jason Aldean: 2015 burn it down tour","   www.jasonaldean.com           JASON ALDEAN                                   2015 BURN IT DOWN TOUR     PAN AMERICAN CENTER     FRI SEP 25 2015 7:30 PM  ",2,189,"BWC",2015-09-26,"01:30:00",2015-04-28,2015-05-01,2015-04-28,"16:25:36",2015-04-28,2015-09-22,"CST","LAS CRUCES, NEW MEXICO","88003","www.ticketmaster.com","T ","Y ","El Paso"
"887","Cricket Pavilion Premier Parking: Rush","Parking Event","Rush","MISC","PARKING","PARKING","Cricket Pavilion Premier Parking: Rush","GOOD FOR PARKING ONLY%PREMIER PARKING PASS%ENTER OF 79TH AVENUE%CRICKET PAVILION%GOOD THIS DATE ONLY%THU MAY 1 2008 8:00 PM",1,20,"Mail",2008-05-02,"02:00:00",NA,2008-01-26,2008-04-14,"00:00:00",2008-04-13,2008-04-16,"MST","PHOENIX, ARIZONA","85035","NULL","T ","N ","Arizona"
"888","Vip Parking: Brad Paisley","Midflorida Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Vip Parking: Brad Paisley","THIS TICKET IS VALID%FOR VIP PARKING ONLY!%BRAD PAISLEY%AUGUST 13TH, 2010%1-800-ASK-GARY AMP%FLORIDA STATE FAIRGROUNDS",1,20,"TicketFast",2010-08-13,"23:30:00",2010-05-19,2010-05-21,2010-08-11,"00:00:00",2010-08-11,2010-08-11,"EST","TAMPA, FLORIDA","33610","NULL","T ","N ","Tampa"
"889","Badfish, A Tribute To Sublime Performing Sublime's Self Title Album","Badfish - A Tribute To Sublime","NULL","CONCERTS","TRIBUTE BAND","CONCERTS","Badfish, A Tribute To Sublime Performing Sublime's Self Title Album"," HOUSE OF BLUES PRESENTS           BADFISH             A TRIBUTE TO SUBLIME    HOUSE OF BLUES - ORLANDO NO REFUNDS / G.A. STANDINGFRI MAR 11 2016 DRS 700PM ",4,39,"TicketFast",2016-03-12,"00:00:00",2016-01-13,2016-01-15,2016-03-01,"02:17:07",2016-02-29,2016-03-11,"EST","ORLANDO, FLORIDA","32830","www.concerts.livenation.com","T ","Y ","Orlando"
